Epoch: [0][    1/20019]	Time  0.000 ( 0.000)	Data 0.000236 (0.000236)	Loss 6.9077e+00 (6.9077e+00)	Acc@1        0 (       0)	Acc@5        0 (       0)
Epoch: [0][  129/20019]	Time  0.000 ( 0.000)	Data   0.0165 ( 0.00841)	Loss 6.9078e+00 (6.9078e+00)	Acc@1        0 (  0.1817)	Acc@5        0 (  0.6056)
Epoch: [0][  257/20019]	Time  0.000 ( 0.000)	Data   0.0328 (  0.0165)	Loss 6.9077e+00 (6.9078e+00)	Acc@1        0 (  0.1155)	Acc@5        0 (  0.5776)
Epoch: [0][  385/20019]	Time  0.000 ( 0.000)	Data   0.0489 (  0.0246)	Loss 6.9077e+00 (6.9078e+00)	Acc@1        0 (  0.0974)	Acc@5        0 (  0.5398)
Epoch: [0][  513/20019]	Time  0.000 ( 0.000)	Data    0.065 (  0.0327)	Loss 6.9077e+00 (6.9078e+00)	Acc@1        0 ( 0.08528)	Acc@5        0 (  0.5269)
Epoch: [0][  641/20019]	Time  0.000 ( 0.000)	Data   0.0811 (  0.0408)	Loss 6.9077e+00 (6.9078e+00)	Acc@1    1.562 ( 0.08288)	Acc@5    1.562 (  0.5021)
Epoch: [0][  769/20019]	Time  0.000 ( 0.000)	Data   0.0975 (  0.0489)	Loss 6.9077e+00 (6.9078e+00)	Acc@1        0 ( 0.07721)	Acc@5        0 (  0.4978)
Epoch: [0][  897/20019]	Time  0.000 ( 0.000)	Data    0.114 (   0.057)	Loss 6.9078e+00 (6.9078e+00)	Acc@1        0 ( 0.08013)	Acc@5        0 (  0.4877)
Epoch: [0][ 1025/20019]	Time  0.000 ( 0.000)	Data     0.13 (  0.0651)	Loss 6.9078e+00 (6.9078e+00)	Acc@1        0 ( 0.09146)	Acc@5    1.562 (  0.4939)
Epoch: [0][ 1153/20019]	Time  0.000 ( 0.000)	Data    0.147 (  0.0732)	Loss 6.9077e+00 (6.9078e+00)	Acc@1        0 ( 0.09486)	Acc@5        0 (  0.4892)
Epoch: [0][ 1281/20019]	Time  0.000 ( 0.000)	Data    0.163 (  0.0814)	Loss 6.9078e+00 (6.9078e+00)	Acc@1        0 (     0.1)	Acc@5    1.562 (  0.5025)
Epoch: [0][ 1409/20019]	Time  0.000 ( 0.000)	Data    0.179 (  0.0895)	Loss 6.9077e+00 (6.9078e+00)	Acc@1        0 ( 0.09315)	Acc@5        0 (  0.4924)
Epoch: [0][ 1537/20019]	Time  0.000 ( 0.000)	Data    0.195 (  0.0976)	Loss 6.9078e+00 (6.9078e+00)	Acc@1        0 ( 0.09048)	Acc@5        0 (   0.488)
Epoch: [0][ 1665/20019]	Time  0.000 ( 0.000)	Data    0.211 (   0.106)	Loss 6.9077e+00 (6.9078e+00)	Acc@1        0 ( 0.08727)	Acc@5        0 (  0.4795)
Epoch: [0][ 1793/20019]	Time  0.000 ( 0.000)	Data    0.227 (   0.114)	Loss 6.9078e+00 (6.9078e+00)	Acc@1        0 ( 0.08627)	Acc@5        0 (  0.4863)
Epoch: [0][ 1921/20019]	Time  0.000 ( 0.000)	Data    0.244 (   0.122)	Loss 6.9077e+00 (6.9078e+00)	Acc@1        0 ( 0.08622)	Acc@5        0 (  0.4897)
Epoch: [0][ 2049/20019]	Time  0.000 ( 0.000)	Data     0.26 (    0.13)	Loss 6.9077e+00 (6.9078e+00)	Acc@1        0 (  0.0877)	Acc@5        0 (  0.4934)
Epoch: [0][ 2177/20019]	Time  0.000 ( 0.000)	Data    0.276 (   0.138)	Loss 6.9078e+00 (6.9078e+00)	Acc@1        0 ( 0.08972)	Acc@5        0 (  0.4888)
Epoch: [0][ 2305/20019]	Time  0.000 ( 0.000)	Data    0.293 (   0.146)	Loss 6.9078e+00 (6.9078e+00)	Acc@1        0 ( 0.09016)	Acc@5        0 (  0.4881)
Epoch: [0][ 2433/20019]	Time  0.000 ( 0.000)	Data    0.309 (   0.154)	Loss 6.9079e+00 (6.9078e+00)	Acc@1        0 ( 0.09184)	Acc@5        0 (  0.4855)
Epoch: [0][ 2561/20019]	Time  0.000 ( 0.000)	Data    0.325 (   0.163)	Loss 6.9078e+00 (6.9078e+00)	Acc@1        0 ( 0.09396)	Acc@5    1.562 (  0.4869)
Epoch: [0][ 2689/20019]	Time  0.000 ( 0.000)	Data    0.341 (   0.171)	Loss 6.9077e+00 (6.9078e+00)	Acc@1        0 ( 0.09413)	Acc@5        0 (  0.4852)
Epoch: [0][ 2817/20019]	Time  0.000 ( 0.000)	Data    0.358 (   0.179)	Loss 6.9078e+00 (6.9078e+00)	Acc@1        0 ( 0.09318)	Acc@5        0 (  0.4881)
Epoch: [0][ 2945/20019]	Time  0.000 ( 0.000)	Data    0.374 (   0.187)	Loss 6.9077e+00 (6.9078e+00)	Acc@1        0 ( 0.09126)	Acc@5    1.562 (  0.4839)
