2023-03-03-04:34:10.083-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.67
2023-03-03-04:34:10.240-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.73
2023-03-03-04:34:10.400-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.67
2023-03-03-04:34:10.558-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.67
2023-03-03-04:34:10.716-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.67
2023-03-03-04:34:10.873-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.34
2023-03-03-04:34:11.037-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.67
2023-03-03-04:34:11.196-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:11.356-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.67
2023-03-03-04:34:11.511-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.34
2023-03-03-04:34:11.667-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:11.825-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.34
2023-03-03-04:34:11.982-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.41
2023-03-03-04:34:12.142-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.67
2023-03-03-04:34:12.303-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.34
2023-03-03-04:34:12.462-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.33 63.73
2023-03-03-04:34:12.622-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.67
2023-03-03-04:34:12.776-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.34
2023-03-03-04:34:12.933-UTC 63.40 63.67 64.13 63.94 61.73 63.15 65.26 63.67
2023-03-03-04:34:13.094-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.34
2023-03-03-04:34:13.252-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.34
2023-03-03-04:34:13.412-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.34
2023-03-03-04:34:13.570-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.34
2023-03-03-04:34:13.728-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.67
2023-03-03-04:34:13.884-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.26 63.34
2023-03-03-04:34:14.043-UTC 63.40 63.67 63.81 63.94 61.73 63.15 65.33 63.41
2023-03-03-04:34:14.204-UTC 63.40 63.67 63.81 63.94 61.40 63.15 65.26 63.34
