1 1 4.245639 5.110147
1 2 2.134996 2.563243
1 4 1.091174 1.299229
1 8 0.541738 0.645750
1 16 0.276429 0.326575
1 32 0.135995 0.163279
1 64 0.068201 0.087152
1 128 0.035200 0.040095
1 256 0.018095 0.021291
1 512 0.010506 0.010899
1 1024 0.004665 0.005463
1 2048 0.002569 0.003371
1 4096 0.001495 0.001549
1 8192 0.000829 0.000917
1 16384 0.000547 0.000603
1 32768 0.000406 0.000460
1 65536 0.000311 0.000343
2 1 4.313762 5.118119
2 2 2.159472 2.543884
2 4 1.087485 1.276923
2 8 0.541509 0.639791
2 16 0.269746 0.321470
2 32 0.135535 0.160087
2 64 0.069155 0.083052
2 128 0.037433 0.043423
2 256 0.019592 0.022286
2 512 0.009828 0.011583
2 1024 0.006122 0.006267
2 2048 0.002877 0.003172
2 4096 0.001870 0.001993
2 8192 0.001132 0.001666
2 16384 0.001550 0.000866
2 32768 0.000702 0.000715
2 65536 0.000616 0.000953
4 1 4.313746 5.162308
4 2 2.177218 2.539636
4 4 1.082234 1.278468
4 8 0.546768 0.642403
4 16 0.269844 0.318074
4 32 0.139910 0.163479
4 64 0.072327 0.084758
4 128 0.038106 0.044400
4 256 0.020899 0.023032
4 512 0.010223 0.011717
4 1024 0.006330 0.007298
4 2048 0.003328 0.005817
4 4096 0.002554 0.002927
4 8192 0.001629 0.001677
4 16384 0.001700 0.001602
4 32768 0.001369 0.001836
4 65536 0.001804 0.001165
8 1 4.270385 5.013638
8 2 2.135779 2.479718
8 4 1.047580 1.260797
8 8 0.527224 0.623467
8 16 0.268748 0.320497
8 32 0.140928 0.167951
8 64 0.075534 0.087446
8 128 0.038856 0.049815
8 256 0.020830 0.026154
8 512 0.015312 0.014817
8 1024 0.007291 0.011300
8 2048 0.004666 0.005280
8 4096 0.005005 0.004035
8 8192 0.002573 0.004543
8 16384 0.003465 0.003591
8 32768 0.002387 0.002323
8 65536 0.001936 0.002143
16 1 4.210187 5.040845
16 2 2.100838 2.487114
16 4 1.060582 1.256221
16 8 0.528430 0.623339
16 16 0.283730 0.336718
16 32 0.149003 0.175783
16 64 0.081574 0.090998
16 128 0.047672 0.053361
16 256 0.027319 0.031611
16 512 0.017602 0.018763
16 1024 0.012908 0.015035
16 2048 0.006716 0.016843
16 4096 0.009576 0.006174
16 8192 0.012786 0.010993
16 16384 0.004429 0.006082
16 32768 0.007986 0.006244
16 65536 0.008208 0.007951
32 1 4.203134 5.023214
32 2 2.130275 2.502172
32 4 1.071043 1.271050
32 8 0.578153 0.672557
32 16 0.304502 0.352299
32 32 0.160266 0.187107
32 64 0.098092 0.108885
32 128 0.055351 0.065084
32 256 0.031623 0.043216
32 512 0.028686 0.028691
32 1024 0.020098 0.022173
32 2048 0.016225 0.019419
32 4096 0.015558 0.016332
32 8192 0.016955 0.017295
32 16384 0.012643 0.021150
32 32768 0.015217 0.020999
32 65536 0.019773 0.019861
64 1 4.293539 5.037548
64 2 2.165845 2.548340
64 4 1.144272 1.349058
64 8 0.607732 0.707727
64 16 0.328241 0.376734
64 32 0.182526 0.223153
64 64 0.120117 0.129945
64 128 0.068954 0.080185
64 256 0.058308 0.060140
64 512 0.044774 0.042414
64 1024 0.048135 0.034482
64 2048 0.040393 0.038961
64 4096 0.038041 0.036921
64 8192 0.030252 0.035539
64 16384 0.031635 0.035107
64 32768 0.031276 0.034178
64 65536 0.032057 0.040024
128 1 4.260517 5.100006
128 2 2.295537 2.661685
128 4 1.218707 1.416068
128 8 0.653869 0.747554
128 16 0.366712 0.422861
128 32 0.227093 0.251700
128 64 0.147165 0.167948
128 128 0.111715 0.117782
128 256 0.090286 0.094900
128 512 0.067434 0.087762
128 1024 0.063550 0.077473
128 2048 0.069578 0.069189
128 4096 0.070691 0.062763
128 8192 0.069194 0.076720
128 16384 0.062343 0.068446
128 32768 0.066033 0.075523
128 65536 0.066001 0.065605
256 1 4.588569 5.561326
256 2 2.478306 2.895613
256 4 1.323953 1.534860
256 8 0.756588 0.844002
256 16 0.443034 0.501687
256 32 0.279023 0.331626
256 64 0.221463 0.240992
256 128 0.168160 0.188607
256 256 0.147000 0.164061
256 512 0.130251 0.158802
256 1024 0.130607 0.135914
256 2048 0.124448 0.136509
256 4096 0.119258 0.141277
256 8192 0.121359 0.138501
256 16384 0.127237 0.126851
256 32768 0.123210 0.129305
256 65536 0.118803 0.152248
512 1 4.941220 5.798745
512 2 2.654990 3.121959
512 4 1.510209 1.692087
512 8 0.890322 1.013695
512 16 0.607152 0.643484
512 32 0.437359 0.472769
512 64 0.359908 0.376515
512 128 0.324442 0.320154
512 256 0.278219 0.289464
512 512 0.261977 0.269947
512 1024 0.267316 0.271479
512 2048 0.256044 0.258495
512 4096 0.254918 0.276758
512 8192 0.244906 0.256844
512 16384 0.254389 0.268763
512 32768 0.249528 0.250840
512 65536 0.264159 0.265783
1024 1 5.321645 6.101299
1024 2 3.003166 3.378279
1024 4 1.788259 2.070597
1024 8 1.209898 1.305717
1024 16 0.878533 0.949146
1024 32 0.744881 0.741512
1024 64 0.601660 0.639807
1024 128 0.539890 0.593417
1024 256 0.528762 0.536074
1024 512 0.508209 0.539030
1024 1024 0.508796 0.528102
1024 2048 0.493148 0.538014
1024 4096 0.513235 0.545688
1024 8192 0.659276 0.566269
1024 16384 0.505240 0.525351
1024 32768 0.484634 0.505556
1024 65536 0.504191 0.524477
